workerid,proliferate.condition,choices,concept,correct,definition,failed_audio,failed_images,failed_video,img,internal_node_id,name,response,rt,seed,solution,stimulus,success,time_elapsed,timeout,trial_index,trial_type,view_history,error
23,CB14,"['No', 'Yes']",concept_oblong,TRUE,A rectangle.,,,,geoclidean\elements\concept_oblong\test\out_far_2_fin.png,0.0-3.0-0.7,zup,0,1880,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'zup' is: A rectangle.<br><b>Question:</b><br> Is the image below a 'zup'? <br></p><img src='geoclidean\elements\concept_oblong\test\out_far_2_fin.png' height='300px'>",,159759,,10,html-button-response,,
23,CB14,"['No', 'Yes']",concept_right_ang_t,TRUE,A triangle with a 90 degree angle.,,,,geoclidean\elements\concept_right_ang_t\test\in_1_fin.png,0.0-3.0-0.8,hix,1,3621,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'hix' is: A triangle with a 90 degree angle.<br><b>Question:</b><br> Is the image below a 'hix'? <br></p><img src='geoclidean\elements\concept_right_ang_t\test\in_1_fin.png' height='300px'>",,163381,,11,html-button-response,,
23,CB14,"['No', 'Yes']",concept_cct,TRUE,"Two intersecting circles. Additionally, there is a triangle with two corners located at the intersection points between the circles and a third corner on one of the circles' border.",,,,geoclidean\constraints\concept_cct\test\in_3_fin.png,0.0-3.0-0.9,wex,1,38982,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'wex' is: Two intersecting circles. Additionally, there is a triangle with two corners located at the intersection points between the circles and a third corner on one of the circles' border.<br><b>Question:</b><br> Is the image below a 'wex'? <br></p><img src='geoclidean\constraints\concept_cct\test\in_3_fin.png' height='300px'>",,202369,,12,html-button-response,,
23,CB14,"['No', 'Yes']",concept_radii,FALSE,A circle and 3 straight lines extending from the center of the circle to its border.,,,,geoclidean\elements\concept_radii\test\out_close_5_fin.png,0.0-3.0-0.10,hol,1,12271,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'hol' is: A circle and 3 straight lines extending from the center of the circle to its border.<br><b>Question:</b><br> Is the image below a 'hol'? <br></p><img src='geoclidean\elements\concept_radii\test\out_close_5_fin.png' height='300px'>",,214642,,13,html-button-response,,
23,CB14,"['No', 'Yes']",concept_clcl,TRUE,Two circles and two straight lines. One straight line extends from an intersection point between the circles to a circle's border. Another line extends from one circle's border to another circle's border.,,,,geoclidean\constraints\concept_clcl\test\out_close_1_fin.png,0.0-3.0-0.11,tep,0,18493,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'tep' is: Two circles and two straight lines. One straight line extends from an intersection point between the circles to a circle's border. Another line extends from one circle's border to another circle's border.<br><b>Question:</b><br> Is the image below a 'tep'? <br></p><img src='geoclidean\constraints\concept_clcl\test\out_close_1_fin.png' height='300px'>",,233138,,14,html-button-response,,
23,CB14,"['No', 'Yes']",concept_triangle,FALSE,A triangle.,,,,geoclidean\elements\concept_triangle\test\out_far_2_fin.png,0.0-3.0-0.12,wunf,1,5734,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'wunf' is: A triangle.<br><b>Question:</b><br> Is the image below a 'wunf'? <br></p><img src='geoclidean\elements\concept_triangle\test\out_far_2_fin.png' height='300px'>",,238875,,15,html-button-response,,
23,CB14,"['No', 'Yes']",concept_sixty_ang,TRUE,A sixty degree angle formed between two equal-length straight lines.,,,,geoclidean\elements\concept_sixty_ang\test\out_close_3_fin.png,0.0-3.0-0.13,fep,0,12787,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'fep' is: A sixty degree angle formed between two equal-length straight lines.<br><b>Question:</b><br> Is the image below a 'fep'? <br></p><img src='geoclidean\elements\concept_sixty_ang\test\out_close_3_fin.png' height='300px'>",,251665,,16,html-button-response,,
23,CB14,"['No', 'Yes']",concept_ccl,TRUE,"Two intersecting circles. Additionally, a straight line that extends from one of the intersection points between the circles to one of the circles' border.",,,,geoclidean\constraints\concept_ccl\test\out_close_2_fin.png,0.0-3.0-0.14,pif,0,15536,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'pif' is: Two intersecting circles. Additionally, a straight line that extends from one of the intersection points between the circles to one of the circles' border.<br><b>Question:</b><br> Is the image below a 'pif'? <br></p><img src='geoclidean\constraints\concept_ccl\test\out_close_2_fin.png' height='300px'>",,267204,,17,html-button-response,,
23,CB14,"['No', 'Yes']",concept_rectilinear,TRUE,A closed shape composed of straight lines.,,,,geoclidean\elements\concept_rectilinear\test\out_close_1_fin.png,0.0-3.0-0.15,dlep,0,8715,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'dlep' is: A closed shape composed of straight lines.<br><b>Question:</b><br> Is the image below a 'dlep'? <br></p><img src='geoclidean\elements\concept_rectilinear\test\out_close_1_fin.png' height='300px'>",,275921,,18,html-button-response,,
23,CB14,"['No', 'Yes']",concept_rhomboid,TRUE,A four-sided shape with two pairs of parallel sides.,,,,geoclidean\elements\concept_rhomboid\test\in_3_fin.png,0.0-3.0-0.16,drex,1,5231,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'drex' is: A four-sided shape with two pairs of parallel sides.<br><b>Question:</b><br> Is the image below a 'drex'? <br></p><img src='geoclidean\elements\concept_rhomboid\test\in_3_fin.png' height='300px'>",,281154,,19,html-button-response,,
23,CB14,"['No', 'Yes']",concept_llc,TRUE,A circle and two lines that meet. One of the lines extends from the circle's border and the other line passes through the circle's center.,,,,geoclidean\constraints\concept_llc\test\out_far_1_fin.png,0.0-3.0-0.17,bliv,0,54451,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'bliv' is: A circle and two lines that meet. One of the lines extends from the circle's border and the other line passes through the circle's center.<br><b>Question:</b><br> Is the image below a 'bliv'? <br></p><img src='geoclidean\constraints\concept_llc\test\out_far_1_fin.png' height='300px'>",,335607,,20,html-button-response,,
23,CB14,"['No', 'Yes']",concept_lcc,TRUE,"Two circles that intersect at a single point. One of the circles contains the other. Additionally, a straight line passes through both of the circles' centers.",,,,geoclidean\constraints\concept_lcc\test\out_close_5_fin.png,0.0-3.0-0.18,mox,0,16886,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'mox' is: Two circles that intersect at a single point. One of the circles contains the other. Additionally, a straight line passes through both of the circles' centers.<br><b>Question:</b><br> Is the image below a 'mox'? <br></p><img src='geoclidean\constraints\concept_lcc\test\out_close_5_fin.png' height='300px'>",,352496,,21,html-button-response,,
23,CB14,"['No', 'Yes']",concept_llcc,TRUE,Two circles and two lines that all intersect at a single location.,,,,geoclidean\constraints\concept_llcc\test\in_5_fin.png,0.0-3.0-0.19,muxl,1,8504,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'muxl' is: Two circles and two lines that all intersect at a single location.<br><b>Question:</b><br> Is the image below a 'muxl'? <br></p><img src='geoclidean\constraints\concept_llcc\test\in_5_fin.png' height='300px'>",,361002,,22,html-button-response,,
23,CB14,"['No', 'Yes']",concept_clt,TRUE,"A circle containing a triangle whose corners are all on the circle's border. Additionally, a straight line extends from one of the triangle's corners.",,,,geoclidean\constraints\concept_clt\test\out_close_1_fin.png,0.0-3.0-0.20,fom,0,19492,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'fom' is: A circle containing a triangle whose corners are all on the circle's border. Additionally, a straight line extends from one of the triangle's corners.<br><b>Question:</b><br> Is the image below a 'fom'? <br></p><img src='geoclidean\constraints\concept_clt\test\out_close_1_fin.png' height='300px'>",,380495,,23,html-button-response,,
23,CB14,"['No', 'Yes']",concept_segment,TRUE,A circle and a straight line connecting two points on the circle's border.,,,,geoclidean\elements\concept_segment\test\in_4_fin.png,0.0-3.0-0.21,vix,1,4401,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'vix' is: A circle and a straight line connecting two points on the circle's border.<br><b>Question:</b><br> Is the image below a 'vix'? <br></p><img src='geoclidean\elements\concept_segment\test\in_4_fin.png' height='300px'>",,384898,,24,html-button-response,,
23,CB14,"['No', 'Yes']",concept_clll,TRUE,A circle and three lines. Line 1 extends from the circle's border. Line 2 extends from line 1. Line 3 extends from line 2 to the intersection point between the circle and line 1.,,,,geoclidean\constraints\concept_clll\test\in_4_fin.png,0.0-3.0-0.22,zim,1,13782,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'zim' is: A circle and three lines. Line 1 extends from the circle's border. Line 2 extends from line 1. Line 3 extends from line 2 to the intersection point between the circle and line 1.<br><b>Question:</b><br> Is the image below a 'zim'? <br></p><img src='geoclidean\constraints\concept_clll\test\in_4_fin.png' height='300px'>",,398683,,25,html-button-response,,
23,CB14,"['No', 'Yes']",concept_ccc,FALSE,"Three intersecting circles. Among their points of intersection, one point is shared by all three circles.",,,,geoclidean\constraints\concept_ccc\test\out_far_4_fin.png,0.0-3.0-0.23,krev,1,14159,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'krev' is: Three intersecting circles. Among their points of intersection, one point is shared by all three circles.<br><b>Question:</b><br> Is the image below a 'krev'? <br></p><img src='geoclidean\constraints\concept_ccc\test\out_far_4_fin.png' height='300px'>",,412843,,26,html-button-response,,
23,CB14,"['No', 'Yes']",concept_eq_t,TRUE,A triangle with all of its sides having the same length.,,,,geoclidean\elements\concept_eq_t\test\out_close_2_fin.png,0.0-3.0-0.24,yulf,0,46898,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'yulf' is: A triangle with all of its sides having the same length.<br><b>Question:</b><br> Is the image below a 'yulf'? <br></p><img src='geoclidean\elements\concept_eq_t\test\out_close_2_fin.png' height='300px'>",,459744,,27,html-button-response,,
23,CB14,"['No', 'Yes']",concept_tcc,TRUE,"Two circles that have the same center, one completely inside the other. Additionally, a triangle with a corner located at the center of the circles.",,,,geoclidean\constraints\concept_tcc\test\out_far_1_fin.png,0.0-3.0-0.25,dax,0,30470,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'dax' is: Two circles that have the same center, one completely inside the other. Additionally, a triangle with a corner located at the center of the circles.<br><b>Question:</b><br> Is the image below a 'dax'? <br></p><img src='geoclidean\constraints\concept_tcc\test\out_far_1_fin.png' height='300px'>",,490217,,28,html-button-response,,
23,CB14,"['No', 'Yes']",concept_tcl,TRUE,"A triangle with one of its corners located at the center of a circle. Additionally, a line extends from the triangle's corner located at the center of a circle to the side of the triangle that faces it.",,,,geoclidean\constraints\concept_tcl\test\out_close_1_fin.png,0.0-3.0-0.26,wuj,0,17907,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'wuj' is: A triangle with one of its corners located at the center of a circle. Additionally, a line extends from the triangle's corner located at the center of a circle to the side of the triangle that faces it.<br><b>Question:</b><br> Is the image below a 'wuj'? <br></p><img src='geoclidean\constraints\concept_tcl\test\out_close_1_fin.png' height='300px'>",,508126,,29,html-button-response,,
23,CB14,"['No', 'Yes']",concept_llll,TRUE,Four straight lines that intersect at a single point.,,,,geoclidean\constraints\concept_llll\test\out_close_4_fin.png,0.0-3.0-0.27,jeex,0,10080,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'jeex' is: Four straight lines that intersect at a single point.<br><b>Question:</b><br> Is the image below a 'jeex'? <br></p><img src='geoclidean\constraints\concept_llll\test\out_close_4_fin.png' height='300px'>",,518208,,30,html-button-response,,
23,CB14,"['No', 'Yes']",concept_diameter,TRUE,A circle and a straight line that passes through the center of the circle and whose endpoints are on the circle's border.,,,,geoclidean\elements\concept_diameter\test\in_2_fin.png,0.0-3.0-0.28,nif,1,4758,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'nif' is: A circle and a straight line that passes through the center of the circle and whose endpoints are on the circle's border.<br><b>Question:</b><br> Is the image below a 'nif'? <br></p><img src='geoclidean\elements\concept_diameter\test\in_2_fin.png' height='300px'>",,522969,,31,html-button-response,,
23,CB14,"['No', 'Yes']",concept_ang_bisector,TRUE,A line that divides an angle into two equal parts.,,,,geoclidean\elements\concept_ang_bisector\test\out_close_4_fin.png,0.0-3.0-0.29,lem,0,3305,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'lem' is: A line that divides an angle into two equal parts.<br><b>Question:</b><br> Is the image below a 'lem'? <br></p><img src='geoclidean\elements\concept_ang_bisector\test\out_close_4_fin.png' height='300px'>",,526276,,32,html-button-response,,
23,CB14,"['No', 'Yes']",concept_cccc,TRUE,"Four intersecting circles. Among their points of intersection, one point is shared by all four circles.",,,,geoclidean\constraints\concept_cccc\test\out_close_2_fin.png,0.0-3.0-0.30,frolp,0,25028,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'frolp' is: Four intersecting circles. Among their points of intersection, one point is shared by all four circles.<br><b>Question:</b><br> Is the image below a 'frolp'? <br></p><img src='geoclidean\constraints\concept_cccc\test\out_close_2_fin.png' height='300px'>",,551305,,33,html-button-response,,
23,CB14,"['No', 'Yes']",concept_perp_bisector,TRUE,Two line segments that intersect at a 90 degree angle and are cut into two equal parts.,,,,geoclidean\elements\concept_perp_bisector\test\in_1_fin.png,0.0-3.0-0.31,bim,1,3660,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'bim' is: Two line segments that intersect at a 90 degree angle and are cut into two equal parts.<br><b>Question:</b><br> Is the image below a 'bim'? <br></p><img src='geoclidean\elements\concept_perp_bisector\test\in_1_fin.png' height='300px'>",,554967,,34,html-button-response,,
23,CB14,"['No', 'Yes']",concept_cll,TRUE,A circle containing two lines. Each of the lines extends from one point on the circle's border to another point on the circle's border.,,,,geoclidean\constraints\concept_cll\test\in_4_fin.png,0.0-3.0-0.32,jaf,1,3516,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'jaf' is: A circle containing two lines. Each of the lines extends from one point on the circle's border to another point on the circle's border.<br><b>Question:</b><br> Is the image below a 'jaf'? <br></p><img src='geoclidean\constraints\concept_cll\test\in_4_fin.png' height='300px'>",,558485,,35,html-button-response,,
23,CB14,"['No', 'Yes']",concept_clcc,TRUE,A circle that contains a straight line whose endpoints are on the border of that circle. Two other circles that intersect with the first circle.,,,,geoclidean\constraints\concept_clcc\test\in_5_fin.png,0.0-3.0-0.33,vov,1,31834,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'vov' is: A circle that contains a straight line whose endpoints are on the border of that circle. Two other circles that intersect with the first circle.<br><b>Question:</b><br> Is the image below a 'vov'? <br></p><img src='geoclidean\constraints\concept_clcc\test\in_5_fin.png' height='300px'>",,590321,,36,html-button-response,,
23,CB14,"['No', 'Yes']",concept_square,TRUE,A square.,,,,geoclidean\elements\concept_square\test\out_close_3_fin.png,0.0-3.0-0.34,zyl,0,1768,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'zyl' is: A square.<br><b>Question:</b><br> Is the image below a 'zyl'? <br></p><img src='geoclidean\elements\concept_square\test\out_close_3_fin.png' height='300px'>",,592092,,37,html-button-response,,
23,CB14,"['No', 'Yes']",concept_rhombus,TRUE,A four-sided shape with all sides having the same length.,,,,geoclidean\elements\concept_rhombus\test\in_5_fin.png,0.0-3.0-0.35,bvep,1,3183,0.784584732,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'bvep' is: A four-sided shape with all sides having the same length.<br><b>Question:</b><br> Is the image below a 'bvep'? <br></p><img src='geoclidean\elements\concept_rhombus\test\in_5_fin.png' height='300px'>",,595278,,38,html-button-response,,
23,CB14,"['No', 'Yes']",concept_lll,TRUE,A straight line with two other straight lines extending from it.,,,,geoclidean\constraints\concept_lll\test\out_far_3_fin.png,0.0-3.0-0.36,qiv,0,10237,0.784584732,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'qiv' is: A straight line with two other straight lines extending from it.<br><b>Question:</b><br> Is the image below a 'qiv'? <br></p><img src='geoclidean\constraints\concept_lll\test\out_far_3_fin.png' height='300px'>",,605517,,39,html-button-response,,
23,CB14,,,,,,,,,0.0-4.0,,,6681,0.784584732,,,,612200,,40,instructions,"[{'page_index': 0, 'viewing_time': 6681}]",
8,CB11,,,,,[],[],[],,0.0-0.0,,,,0.878635726,,,TRUE,1829,FALSE,0,preload,,
8,CB11,,,,,,,,,0.0-1.0,,,840137,0.878635726,,,,841986,,1,instructions,"[{'page_index': 0, 'viewing_time': 2348}, {'page_index': 1, 'viewing_time': 47377}, {'page_index': 2, 'viewing_time': 789488}, {'page_index': 3, 'viewing_time': 923}]",
8,CB11,"['Yes', 'No']",concept_clt,TRUE,,,,,geoclidean\constraints\concept_clt\test\out_far_3_fin.png,0.0-2.0-0.0,bim,1,12162,0.878635726,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'bim' is: A circle containing a triangle whose corners are all on the circle's circumference. Additionally, a straight line extends from one of the triangle's corners.<br><b>Question:</b><br> Is the image below a 'bim'? <br></p><img src='geoclidean\constraints\concept_clt\test\out_far_3_fin.png' height='300px'>",,854151,,2,html-button-response,,
8,CB11,"['Yes', 'No']",concept_oblong,TRUE,,,,,geoclidean\elements\concept_oblong\test\out_far_3_fin.png,0.0-2.0-0.1,hix,1,1834,0.878635726,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'hix' is: A rectangle.<br><b>Question:</b><br> Is the image below a 'hix'? <br></p><img src='geoclidean\elements\concept_oblong\test\out_far_3_fin.png' height='300px'>",,855987,,3,html-button-response,,
8,CB11,"['Yes', 'No']",concept_angle,TRUE,,,,,geoclidean\elements\concept_angle\test\out_close_2_fin.png,0.0-2.0-0.2,dlep,1,4579,0.878635726,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'dlep' is: An angle formed between two lines.<br><b>Question:</b><br> Is the image below a 'dlep'? <br></p><img src='geoclidean\elements\concept_angle\test\out_close_2_fin.png' height='300px'>",,860569,,4,html-button-response,,
8,CB11,"['Yes', 'No']",concept_tcl,FALSE,,,,,geoclidean\constraints\concept_tcl\test\in_3_fin.png,0.0-2.0-0.3,nuk,1,12597,0.878635726,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'nuk' is: A triangle with two straight lines extending out of one of its corners.<br><b>Question:</b><br> Is the image below a 'nuk'? <br></p><img src='geoclidean\constraints\concept_tcl\test\in_3_fin.png' height='300px'>",,873168,,5,html-button-response,,
8,CB11,"['Yes', 'No']",concept_cccc,TRUE,,,,,geoclidean\constraints\concept_cccc\test\in_5_fin.png,0.0-2.0-0.4,tep,0,45018,0.878635726,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'tep' is: Four intersecting circles. Among their points of intersection, one point is shared by all four circles.<br><b>Question:</b><br> Is the image below a 'tep'? <br></p><img src='geoclidean\constraints\concept_cccc\test\in_5_fin.png' height='300px'>",,918189,,6,html-button-response,,
8,CB11,"['Yes', 'No']",concept_cct,TRUE,,,,,geoclidean\constraints\concept_cct\test\in_1_fin.png,0.0-2.0-0.5,jaf,0,31095,0.878635726,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'jaf' is: Two intersecting circles. Additionally, there is a triangle with two corners located at the intersection points between the circles and a third corner on one of the circles' circumference.<br><b>Question:</b><br> Is the image below a 'jaf'? <br></p><img src='geoclidean\constraints\concept_cct\test\in_1_fin.png' height='300px'>",,949288,,7,html-button-response,,
8,CB11,"['Yes', 'No']",concept_cccl,TRUE,,,,,geoclidean\constraints\concept_cccl\test\out_far_1_fin.png,0.0-2.0-0.6,qiv,1,24250,0.878635726,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'qiv' is: Three intersecting circles. Among their points of intersection, one point is shared by all three circles. Additionally, one of the circles contains a line whose endpoints are on the circle's circumference.<br><b>Question:</b><br> Is the image below a 'qiv'? <br></p><img src='geoclidean\constraints\concept_cccl\test\out_far_1_fin.png' height='300px'>",,973514,,8,html-button-response,,
8,CB11,"['Yes', 'No']",concept_llcc,TRUE,,,,,geoclidean\constraints\concept_llcc\test\out_close_1_fin.png,0.0-2.0-0.7,zim,1,4192,0.878635726,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'zim' is: Two circles and two lines that all intersect at the same location.<br><b>Question:</b><br> Is the image below a 'zim'? <br></p><img src='geoclidean\constraints\concept_llcc\test\out_close_1_fin.png' height='300px'>",,977705,,9,html-button-response,,
8,CB11,"['Yes', 'No']",concept_quadrilateral,TRUE,,,,,geoclidean\elements\concept_quadrilateral\test\out_close_1_fin.png,0.0-2.0-0.8,zup,1,2952,0.878635726,No,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'zup' is: A quadrilateral.<br><b>Question:</b><br> Is the image below a 'zup'? <br></p><img src='geoclidean\elements\concept_quadrilateral\test\out_close_1_fin.png' height='300px'>",,980658,,10,html-button-response,,
8,CB11,"['Yes', 'No']",concept_square,TRUE,,,,,geoclidean\elements\concept_square\test\in_2_fin.png,0.0-2.0-0.9,vix,0,1342,0.878635726,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'vix' is: A square.<br><b>Question:</b><br> Is the image below a 'vix'? <br></p><img src='geoclidean\elements\concept_square\test\in_2_fin.png' height='300px'>",,982000,,11,html-button-response,,
8,CB11,"['Yes', 'No']",concept_parallel_l,TRUE,,,,,geoclidean\elements\concept_parallel_l\test\in_5_fin.png,0.0-2.0-0.10,frolp,0,2539,0.878635726,Yes,"<p style=""max-width: 60%;margin-left: auto; margin-right: auto;""><b>Definition:</b><br>A 'frolp' is: Parallel lines.<br><b>Question:</b><br> Is the image below a 'frolp'? <br></p><img src='geoclidean\elements\concept_parallel_l\test\in_5_fin.png' height='300px'>",,984540,,12,html-button-response,,
